"","Ref..No.","Location","Name","Accession.Number","event","value","DOY","year","gdd"
"1",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First bud colour","2010-02-24",55,2010,116.58
"2",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First bud colour","2010-02-17",48,2010,113.53
"3",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First bud colour","2010-02-28",59,2010,133.22
"4",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First bud colour","2010-02-28",59,2010,133.22
"5",14,"C7•","M. sargentiana","1988-0065.01","First bud colour","2010-02-24",55,2010,116.58
"6",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First bud colour","2010-02-28",59,2010,133.22
"7",20,"C9•","M. stellata","1972-0218.01","First bud colour","2010-03-07",66,2010,150.36
"8",22,"DB•","M. sprengeri","1980-0041.01","First bud colour","2010-02-28",59,2010,133.22
"9",27,"H3•","M. campbellii","1982-0939.06","First bud colour","2010-02-28",59,2010,133.22
"10",28,"H3•","M. campbellii","1983-0456.01","First bud colour","2010-02-24",55,2010,116.58
"11",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First bud colour","2010-02-28",59,2010,133.22
"12",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First bud colour","2010-02-28",59,2010,133.22
"13",38,"D2•","M. sargentiana","1982-1437.04","First bud colour","2010-02-17",48,2010,113.53
"14",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First bud colour","2010-02-24",55,2010,116.58
"15",44,"D6•","M. campbellii","1974-1054.01","First bud colour","2010-02-24",55,2010,116.58
"16",50,"D5•","M. campbellii","1978-0361.01","First bud colour","2010-03-03",62,2010,144.51
"17",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First bud colour","2010-03-07",66,2010,150.36
"18",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First bud colour","2010-02-28",59,2010,133.22
"19",58,"FA•","M. campbellii 'Landicla'","1982-0943.01","First bud colour","2010-03-03",62,2010,144.51
"20",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First bud colour","2010-03-03",62,2010,144.51
"21",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First bud colour","2010-02-28",59,2010,133.22
"22",67,"E7•","M. campbellii","1979-0244.01","First bud colour","2010-03-03",62,2010,144.51
"23",71,"BC•","M. zenii","1986-0146.01","First bud colour","2010-02-28",59,2010,133.22
"24",73,"A2•","M. cylindrica","1982-0947.01","First bud colour","2010-03-03",62,2010,144.51
"25",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First bud colour","2010-03-07",66,2010,150.36
"26",76,"G6•","M. cylindrica","1992-0484.02","First bud colour","2010-03-14",73,2010,158.96
"27",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First bud colour","2010-02-21",52,2010,113.78
"28",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First bud colour","2010-03-28",87,2010,212.35
"29",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First flower fully open","2010-03-03",62,2010,144.51
"30",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First flower fully open","2010-02-24",55,2010,116.58
