"","Ref..No.","Location","Name","Accession.Number","event","value","DOY","year","gdd"
"31",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First flower fully open","2010-02-28",59,2010,133.22
"32",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First flower fully open","2010-02-28",59,2010,133.22
"33",14,"C7•","M. sargentiana","1988-0065.01","First flower fully open","2010-03-07",66,2010,150.36
"34",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First flower fully open","2010-03-14",73,2010,158.96
"35",20,"C9•","M. stellata","1972-0218.01","First flower fully open","2010-03-14",73,2010,158.96
"36",22,"DB•","M. sprengeri","1980-0041.01","First flower fully open","2010-03-07",66,2010,150.36
"37",27,"H3•","M. campbellii","1982-0939.06","First flower fully open","2010-03-03",62,2010,144.51
"38",28,"H3•","M. campbellii","1983-0456.01","First flower fully open","2010-03-03",62,2010,144.51
"39",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First flower fully open","2010-03-03",62,2010,144.51
"40",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First flower fully open","2010-03-10",69,2010,153.46
"41",38,"D2•","M. sargentiana","1982-1437.04","First flower fully open","2010-02-24",55,2010,116.58
"42",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First flower fully open","2010-03-10",69,2010,153.46
"43",44,"D6•","M. campbellii","1974-1054.01","First flower fully open","2010-02-28",59,2010,133.22
"44",50,"D5•","M. campbellii","1978-0361.01","First flower fully open","2010-03-03",62,2010,144.51
"45",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First flower fully open","2010-03-14",73,2010,158.96
"46",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First flower fully open","2010-03-03",62,2010,144.51
"47",58,"FA•","M. campbellii 'Landicla'","1982-0943.01","First flower fully open","2010-03-07",66,2010,150.36
"48",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First flower fully open","2010-03-10",69,2010,153.46
"49",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First flower fully open","2010-03-10",69,2010,153.46
"50",67,"E7•","M. campbellii","1979-0244.01","First flower fully open","2010-03-07",66,2010,150.36
"51",71,"BC•","M. zenii","1986-0146.01","First flower fully open","2010-03-03",62,2010,144.51
"52",73,"A2•","M. cylindrica","1982-0947.01","First flower fully open","2010-03-17",76,2010,172.5
"53",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First flower fully open","2010-03-24",83,2010,192.6
"54",76,"G6•","M. cylindrica","1992-0484.02","First flower fully open","2010-03-24",83,2010,192.6
"55",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First flower fully open","2010-02-24",55,2010,116.58
"56",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First flower fully open","2010-03-31",90,2010,218.69
"57",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","Peak bloom","2010-03-28",87,2010,212.35
"58",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","Peak bloom","2010-03-03",62,2010,144.51
"59",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","Peak bloom","2010-03-10",69,2010,153.46
"60",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","Peak bloom","2010-03-07",66,2010,150.36
"61",14,"C7•","M. sargentiana","1988-0065.01","Peak bloom","2010-03-10",69,2010,153.46
"62",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","Peak bloom","2010-03-21",80,2010,182.4
"63",20,"C9•","M. stellata","1972-0218.01","Peak bloom","2010-03-24",83,2010,192.6
"64",22,"DB•","M. sprengeri","1980-0041.01","Peak bloom","2010-03-24",83,2010,192.6
"65",27,"H3•","M. campbellii","1982-0939.06","Peak bloom","2010-03-14",73,2010,158.96
"66",28,"H3•","M. campbellii","1983-0456.01","Peak bloom","2010-03-14",73,2010,158.96
"67",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","Peak bloom","2010-03-07",66,2010,150.36
"68",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","Peak bloom","2010-03-21",80,2010,182.4
"69",38,"D2•","M. sargentiana","1982-1437.04","Peak bloom","2010-02-28",59,2010,133.22
"70",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","Peak bloom","2010-03-24",83,2010,192.6
"71",44,"D6•","M. campbellii","1974-1054.01","Peak bloom","2010-03-14",73,2010,158.96
"72",50,"D5•","M. campbellii","1978-0361.01","Peak bloom","2010-03-21",80,2010,182.4
"73",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","Peak bloom","2010-03-21",80,2010,182.4
"74",54,"F6•","M. 'Barbara Cook'","1981-0280.01","Peak bloom","2010-03-14",73,2010,158.96
"75",58,"FA•","M. campbellii 'Landicla'","1982-0943.01","Peak bloom","2010-03-10",69,2010,153.46
"76",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","Peak bloom","2010-03-17",76,2010,172.5
"77",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","Peak bloom","2010-03-14",73,2010,158.96
"78",67,"E7•","M. campbellii","1979-0244.01","Peak bloom","2010-03-14",73,2010,158.96
"79",71,"BC•","M. zenii","1986-0146.01","Peak bloom","2010-03-07",66,2010,150.36
"80",73,"A2•","M. cylindrica","1982-0947.01","Peak bloom","2010-03-24",83,2010,192.6
"81",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","Peak bloom","2010-03-28",87,2010,212.35
"82",76,"G6•","M. cylindrica","1992-0484.02","Peak bloom","2010-04-07",97,2010,235.59
"83",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","Peak bloom","2010-03-03",62,2010,144.51
"84",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","Peak bloom","2010-04-18",108,2010,285.96
"85",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First tepal drop","2010-03-21",80,2010,182.4
"86",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First tepal drop","2010-03-07",66,2010,150.36
"87",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First tepal drop","2010-03-06",65,2010,150.11
"88",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First tepal drop","2010-03-06",65,2010,150.11
"89",14,"C7•","M. sargentiana","1988-0065.01","First tepal drop","2010-03-10",69,2010,153.46
"90",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First tepal drop","2010-03-14",73,2010,158.96
"91",20,"C9•","M. stellata","1972-0218.01","First tepal drop","2010-03-21",80,2010,182.4
"92",22,"DB•","M. sprengeri","1980-0041.01","First tepal drop","2010-03-14",73,2010,158.96
"93",27,"H3•","M. campbellii","1982-0939.06","First tepal drop","2010-03-14",73,2010,158.96
"94",28,"H3•","M. campbellii","1983-0456.01","First tepal drop","2010-03-14",73,2010,158.96
"95",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First tepal drop","2010-03-10",69,2010,153.46
"96",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First tepal drop","2010-03-14",73,2010,158.96
"97",38,"D2•","M. sargentiana","1982-1437.04","First tepal drop","2010-03-07",66,2010,150.36
"98",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First tepal drop","2010-03-21",80,2010,182.4
"99",44,"D6•","M. campbellii","1974-1054.01","First tepal drop","2010-03-07",66,2010,150.36
"100",50,"D5•","M. campbellii","1978-0361.01","First tepal drop","2010-03-24",83,2010,192.6
"101",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First tepal drop","2010-03-24",83,2010,192.6
"102",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First tepal drop","2010-03-14",73,2010,158.96
"103",58,"FA•","M. campbellii 'Landicla'","1982-0943.01","First tepal drop","2010-03-17",76,2010,172.5
"104",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First tepal drop","2010-03-21",80,2010,182.4
"105",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First tepal drop","2010-03-10",69,2010,153.46
"106",67,"E7•","M. campbellii","1979-0244.01","First tepal drop","2010-03-24",83,2010,192.6
"107",71,"BC•","M. zenii","1986-0146.01","First tepal drop","2010-03-07",66,2010,150.36
"108",73,"A2•","M. cylindrica","1982-0947.01","First tepal drop","2010-03-24",83,2010,192.6
"109",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First tepal drop","2010-03-28",87,2010,212.35
"110",76,"G6•","M. cylindrica","1992-0484.02","First tepal drop","2010-04-11",101,2010,243.13
"111",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First tepal drop","2010-03-07",66,2010,150.36
"112",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First tepal drop","2010-04-25",115,2010,321.9
"113",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","Last tepal drop","2010-05-09",129,2010,397.5
"114",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","Last tepal drop","2010-03-31",90,2010,218.69
"115",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","Last tepal drop","2010-03-31",90,2010,218.69
"116",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","Last tepal drop","2010-04-04",94,2010,226.54
"117",14,"C7•","M. sargentiana","1988-0065.01","Last tepal drop","2010-04-21",111,2010,306.16
"118",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","Last tepal drop","2010-05-05",125,2010,375.25
"119",20,"C9•","M. stellata","1972-0218.01","Last tepal drop","2010-06-05",156,2010,NA
"120",22,"DB•","M. sprengeri","1980-0041.01","Last tepal drop","2010-05-12",132,2010,419.35
"121",27,"H3•","M. campbellii","1982-0939.06","Last tepal drop","2010-04-04",94,2010,226.54
"122",28,"H3•","M. campbellii","1983-0456.01","Last tepal drop","2010-04-11",101,2010,243.13
"123",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","Last tepal drop","2010-04-07",97,2010,235.59
"124",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","Last tepal drop","2010-05-09",129,2010,397.5
"125",38,"D2•","M. sargentiana","1982-1437.04","Last tepal drop","2010-03-28",87,2010,212.35
"126",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","Last tepal drop","2010-05-12",132,2010,419.35
"127",44,"D6•","M. campbellii","1974-1054.01","Last tepal drop","2010-04-21",111,2010,306.16
"128",50,"D5•","M. campbellii","1978-0361.01","Last tepal drop","2010-04-07",97,2010,235.59
"129",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","Last tepal drop","2010-05-05",125,2010,375.25
"130",54,"F6•","M. 'Barbara Cook'","1981-0280.01","Last tepal drop","2010-04-04",94,2010,226.54
"131",58,"FA•","M. campbellii 'Landicla'","1982-0943.01","Last tepal drop","2010-03-28",87,2010,212.35
"132",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","Last tepal drop","2010-04-25",115,2010,321.9
"133",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","Last tepal drop","2010-04-04",94,2010,226.54
"134",67,"E7•","M. campbellii","1979-0244.01","Last tepal drop","2010-04-04",94,2010,226.54
"135",71,"BC•","M. zenii","1986-0146.01","Last tepal drop","2010-03-28",87,2010,212.35
"136",73,"A2•","M. cylindrica","1982-0947.01","Last tepal drop","2010-05-16",136,2010,455.95
"137",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","Last tepal drop","2010-04-21",111,2010,306.16
"138",76,"G6•","M. cylindrica","1992-0484.02","Last tepal drop","2010-04-26",116,2010,329.9
"139",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","Last tepal drop","2010-04-21",111,2010,306.16
"140",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","Last tepal drop","2010-05-19",139,2010,485.95
"141",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First bud colour","2011-03-27",86,2011,101.4
"142",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First bud colour","2011-03-23",82,2011,88.62
"143",14,"C7•","M. sargentiana","1988-0065.01","First bud colour","2011-03-30",89,2011,110.8
"144",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First bud colour","2011-03-27",86,2011,101.4
"145",20,"C9•","M. stellata","1972-0218.01","First bud colour","2011-04-10",100,2011,138.37
"146",22,"DB•","M. sprengeri","1980-0041.01","First bud colour","2011-03-27",86,2011,101.4
"147",27,"H3•","M. campbellii","1982-0939.06","First bud colour","2011-04-10",100,2011,138.37
"148",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First bud colour","2011-03-27",86,2011,101.4
"149",38,"D2•","M. sargentiana","1982-1437.04","First bud colour","2011-03-27",86,2011,101.4
"150",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First bud colour","2011-03-27",86,2011,101.4
"151",44,"D6•","M. campbellii","1974-1054.01","First bud colour","2011-04-13",103,2011,145.87
"152",50,"D5•","M. campbellii","1978-0361.01","First bud colour","2011-04-17",107,2011,149.27
"153",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First bud colour","2011-04-20",110,2011,154.12
"154",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First bud colour","2011-03-30",89,2011,110.8
"155",58,"FA•","M. campbellii 'Landicla'","1982-0943.01","First bud colour","2011-04-03",93,2011,124.4
"156",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First bud colour","2011-03-27",86,2011,101.4
"157",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First bud colour","2011-03-30",89,2011,110.8
"158",67,"E7•","M. campbellii","1979-0244.01","First bud colour","2011-04-06",96,2011,128.2
"159",71,"BC•","M. zenii","1986-0146.01","First bud colour","2011-03-27",86,2011,101.4
"160",73,"A2•","M. cylindrica","1982-0947.01","First bud colour","2011-04-03",93,2011,124.4
"161",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First bud colour","2011-04-24",114,2011,165.27
"162",76,"G6•","M. cylindrica","1992-0484.02","First bud colour","2011-04-24",114,2011,165.27
"163",77,"F5•","M. campbellii","1982-0939.03","First bud colour","2011-04-03",93,2011,124.4
"164",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First bud colour","2011-03-23",82,2011,88.62
"165",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First bud colour","2011-05-08",128,2011,223.69
"166",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First flower fully open","2011-04-06",96,2011,128.2
"167",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First flower fully open","2011-04-06",96,2011,128.2
"168",14,"C7•","M. sargentiana","1988-0065.01","First flower fully open","2011-04-16",106,2011,147.87
"169",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First flower fully open","2011-04-10",100,2011,138.37
"170",20,"C9•","M. stellata","1972-0218.01","First flower fully open","2011-04-24",114,2011,165.27
"171",22,"DB•","M. sprengeri","1980-0041.01","First flower fully open","2011-04-03",93,2011,124.4
"172",27,"H3•","M. campbellii","1982-0939.06","First flower fully open","2011-05-04",124,2011,204.19
"173",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First flower fully open","2011-04-17",107,2011,149.27
"174",38,"D2•","M. sargentiana","1982-1437.04","First flower fully open","2011-04-06",96,2011,128.2
"175",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First flower fully open","2011-04-06",96,2011,128.2
"176",44,"D6•","M. campbellii","1974-1054.01","First flower fully open","2011-04-24",114,2011,165.27
"177",50,"D5•","M. campbellii","1978-0361.01","First flower fully open","2011-04-24",114,2011,165.27
"178",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First flower fully open","2011-04-24",114,2011,165.27
"179",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First flower fully open","2011-04-06",96,2011,128.2
"180",58,"FA•","M. campbellii 'Landicla'","1982-0943.01","First flower fully open","2011-04-24",114,2011,165.27
"181",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First flower fully open","2011-04-13",103,2011,145.87
"182",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First flower fully open","2011-04-13",103,2011,145.87
"183",67,"E7•","M. campbellii","1979-0244.01","First flower fully open","2011-04-17",107,2011,149.27
"184",71,"BC•","M. zenii","1986-0146.01","First flower fully open","2011-04-13",103,2011,145.87
"185",73,"A2•","M. cylindrica","1982-0947.01","First flower fully open","2011-04-24",114,2011,165.27
"186",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First flower fully open","2011-05-04",124,2011,204.19
"187",76,"G6•","M. cylindrica","1992-0484.02","First flower fully open","2011-05-04",124,2011,204.19
"188",77,"F5•","M. campbellii","1982-0939.03","First flower fully open","2011-04-24",114,2011,165.27
"189",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First flower fully open","2011-03-30",89,2011,110.8
"190",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First flower fully open","2011-05-11",131,2011,242.59
"191",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","Peak bloom","2011-04-24",114,2011,165.27
"192",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","Peak bloom","2011-04-13",103,2011,145.87
"193",14,"C7•","M. sargentiana","1988-0065.01","Peak bloom","2011-04-13",103,2011,145.87
"194",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","Peak bloom","2011-04-17",107,2011,149.27
"195",20,"C9•","M. stellata","1972-0218.01","Peak bloom","2011-04-24",114,2011,165.27
"196",22,"DB•","M. sprengeri","1980-0041.01","Peak bloom","2011-04-17",107,2011,149.27
"197",27,"H3•","M. campbellii","1982-0939.06","Peak bloom","2011-05-04",124,2011,204.19
"198",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","Peak bloom","2011-04-24",114,2011,165.27
"199",38,"D2•","M. sargentiana","1982-1437.04","Peak bloom","2011-04-13",103,2011,145.87
"200",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","Peak bloom","2011-04-20",110,2011,154.12
"201",44,"D6•","M. campbellii","1974-1054.01","Peak bloom","2011-04-24",114,2011,165.27
"202",50,"D5•","M. campbellii","1978-0361.01","Peak bloom","2011-04-24",114,2011,165.27
"203",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","Peak bloom","2011-04-24",114,2011,165.27
"204",54,"F6•","M. 'Barbara Cook'","1981-0280.01","Peak bloom","2011-04-13",103,2011,145.87
"205",58,"FA•","M. campbellii 'Landicla'","1982-0943.01","Peak bloom","2011-04-24",114,2011,165.27
"206",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","Peak bloom","2011-04-17",107,2011,149.27
"207",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","Peak bloom","2011-04-17",107,2011,149.27
"208",67,"E7•","M. campbellii","1979-0244.01","Peak bloom","2011-04-24",114,2011,165.27
"209",71,"BC•","M. zenii","1986-0146.01","Peak bloom","2011-04-13",103,2011,145.87
"210",73,"A2•","M. cylindrica","1982-0947.01","Peak bloom","2011-05-04",124,2011,204.19
"211",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","Peak bloom","2011-05-15",135,2011,264.93
"212",76,"G6•","M. cylindrica","1992-0484.02","Peak bloom","2011-05-15",135,2011,264.93
"213",77,"F5•","M. campbellii","1982-0939.03","Peak bloom","2011-05-01",121,2011,191.4
"214",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","Peak bloom","2011-03-30",89,2011,110.8
"215",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","Peak bloom","2011-05-15",135,2011,264.93
"216",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First tepal drop","2011-04-20",110,2011,154.12
"217",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First tepal drop","2011-04-13",103,2011,145.87
"218",14,"C7•","M. sargentiana","1988-0065.01","First tepal drop","2011-04-10",100,2011,138.37
"219",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First tepal drop","2011-04-13",103,2011,145.87
"220",20,"C9•","M. stellata","1972-0218.01","First tepal drop","2011-04-20",110,2011,154.12
"221",22,"DB•","M. sprengeri","1980-0041.01","First tepal drop","2011-04-10",100,2011,138.37
"222",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First tepal drop","2011-04-17",107,2011,149.27
"223",38,"D2•","M. sargentiana","1982-1437.04","First tepal drop","2011-04-17",107,2011,149.27
"224",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First tepal drop","2011-04-17",107,2011,149.27
"225",44,"D6•","M. campbellii","1974-1054.01","First tepal drop","2011-05-04",124,2011,204.19
"226",50,"D5•","M. campbellii","1978-0361.01","First tepal drop","2011-04-24",114,2011,165.27
"227",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First tepal drop","2011-05-01",121,2011,191.4
"228",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First tepal drop","2011-04-13",103,2011,145.87
"229",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First tepal drop","2011-04-17",107,2011,149.27
"230",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First tepal drop","2011-04-17",107,2011,149.27
"231",67,"E7•","M. campbellii","1979-0244.01","First tepal drop","2011-04-27",117,2011,175.96
"232",71,"BC•","M. zenii","1986-0146.01","First tepal drop","2011-04-13",103,2011,145.87
"233",73,"A2•","M. cylindrica","1982-0947.01","First tepal drop","2011-05-01",121,2011,191.4
"234",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First tepal drop","2011-05-08",128,2011,223.69
"235",76,"G6•","M. cylindrica","1992-0484.02","First tepal drop","2011-05-08",128,2011,223.69
"236",77,"F5•","M. campbellii","1982-0939.03","First tepal drop","2011-05-01",121,2011,191.4
"237",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First tepal drop","2011-04-03",93,2011,124.4
"238",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First tepal drop","2011-05-22",142,2011,310.63
"239",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","Last tepal drop","2011-05-30",150,2011,369.76
"240",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","Last tepal drop","2011-05-08",128,2011,223.69
"241",14,"C7•","M. sargentiana","1988-0065.01","Last tepal drop","2011-05-15",135,2011,264.93
"242",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","Last tepal drop","2011-05-30",150,2011,369.76
"243",22,"DB•","M. sprengeri","1980-0041.01","Last tepal drop","2011-05-18",138,2011,280.68
"244",27,"H3•","M. campbellii","1982-0939.06","Last tepal drop","2011-05-15",135,2011,264.93
"245",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","Last tepal drop","2011-05-30",150,2011,369.76
"246",44,"D6•","M. campbellii","1974-1054.01","Last tepal drop","2011-05-04",124,2011,204.19
"247",50,"D5•","M. campbellii","1978-0361.01","Last tepal drop","2011-05-15",135,2011,264.93
"248",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","Last tepal drop","2011-05-01",121,2011,191.4
"249",54,"F6•","M. 'Barbara Cook'","1981-0280.01","Last tepal drop","2011-05-08",128,2011,223.69
"250",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","Last tepal drop","2011-05-25",145,2011,331.77
"251",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","Last tepal drop","2011-05-08",128,2011,223.69
"252",67,"E7•","M. campbellii","1979-0244.01","Last tepal drop","2011-05-15",135,2011,264.93
"253",71,"BC•","M. zenii","1986-0146.01","Last tepal drop","2011-05-08",128,2011,223.69
"254",73,"A2•","M. cylindrica","1982-0947.01","Last tepal drop","2011-06-08",159,2011,NA
"255",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","Last tepal drop","2011-05-30",150,2011,369.76
"256",76,"G6•","M. cylindrica","1992-0484.02","Last tepal drop","2011-05-30",150,2011,369.76
"257",77,"F5•","M. campbellii","1982-0939.03","Last tepal drop","2011-05-18",138,2011,280.68
"258",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","Last tepal drop","2011-05-08",128,2011,223.69
"259",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","Last tepal drop","2011-06-12",163,2011,NA
"260",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First bud colour","2012-04-08",99,2012,92.62
