Ref. No.,Location,Name,First bud colour,First flower fully open,Peak bloom,First tepal drop,Last tepal drop,First green seen,Accession Number,Status in 2024,Comments
2,AC•,Magnolia sprengeri 'Diva',2023-03-26,2023-03-29,2023-04-12,2023-03-29,2023-05-10,2023-04-16,1982-0954.03,Open,
3,A5•,Magnolia sargentiana 'Blood Moon',2023-04-02,2023-04-08,,2023-04-16,2023-04-26,2023-04-16,1986-0338.01,Open,No data recorded for the column F.
4,A5•,Magnolia wilsonii 'Bovee',,,,,,,1985-0328.01,Excluded,
5,A6•,Magnolia campbellii 'Darjeeling',,,,,,,1984-0028.01,Completed,
6,AL•,Magnolia campbellii 'Borde Hill',2023-04-08,2023-04-12,,2023-04-16,2023-05-03,2023-04-26,1982-0946.03,Open,No data recorded for the column F.
7,AE•,Magnolia campbellii 'Lanarth',2023-04-12,2023-04-12,,2023-04-16,2023-05-03,Mid April,1984-0567.01,Open,"No data recorded for the column F. The first green seen does not have an exact date, only recorded as ""Mid April""."
8,A9•,Magnolia campbellii 'Borde Hill',,,,,,,1982-0946.02,Excluded,
9,B3•,Magnolia campbellii,,,,,,,1982-0944.01,Excluded,
10,B5•,Magnolia globosa,,,,,,,1979-0837.01,Excluded,
11,B5•,Magnolia sargentiana,,,,,,,1982-1391.02,Excluded,
12,A2•,Magnolia dawsoniana,,,,,,,1978-0091.01,Completed,
13,D3•,Magnolia sargentiana,,,,,,,1982-0951.01,Completed,
14,C7•,Magnolia sargentiana,2023-03-22,2023-03-29,2023-04-08,2023-04-05,2023-05-03,2023-04-12,1988-0065.01,Open,
15,B4•,Magnolia sprengeri,,,,,,,1976-0041.01,Excluded,
16,B4•,Magnolia dawsoniana 'Chyverton Red',2023-03-26,2023-03-29,2023-04-12,2023-04-08,2023-05-14,2023-04-12,1978-0362.01,Open,
17,B6•,Magnolia delavayi,,,,,,,1985-0275.02,Excluded,
18,B7•,Magnolia campbellii 'Landicla',,,,,,,1982-0943.02,Excluded,
19,D9•,Magnolia sargentiana,,,,,,,1982-1437.02,Excluded,
20,C9•,Magnolia stellata,,,,,,,1972-0218.01,Completed,
21,D8•,Magnolia dawsoniana 'Chyverton Red',,,,,,,1978-0362.03,Excluded,
