"","...1","Ref..No.","Location","Name","Accession.Number","event","value","DOY","year","gdd","spName","cultivarName"
"42",42,39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First flower fully open",2010-03-10,69,2010,153.46,"M. denudata","'Forrest's Pink'"
"43",43,44,"D6•","M. campbellii","1974-1054.01","First flower fully open",2010-02-28,59,2010,133.22,"M. campbellii","botanical species"
"44",44,50,"D5•","M. campbellii","1978-0361.01","First flower fully open",2010-03-03,62,2010,144.51,"M. campbellii","botanical species"
"45",45,53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First flower fully open",2010-03-14,73,2010,158.96,"M. sprengeri","'Wakehurst'"
"46",46,54,"F6•","M. 'Barbara Cook'","1981-0280.01","First flower fully open",2010-03-03,62,2010,144.51,"M. dawsoniana","'Barbara Cook'"
"47",47,58,"FA•","M. campbellii 'Landicla'","1982-0943.01","First flower fully open",2010-03-07,66,2010,150.36,"M. campbellii","'Landicla'"
"48",48,63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First flower fully open",2010-03-10,69,2010,153.46,"M. dawsoniana","'Clarke'"
"49",49,66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First flower fully open",2010-03-10,69,2010,153.46,"M. sargentiana","'Chyverton Dark'"
"50",50,67,"E7•","M. campbellii","1979-0244.01","First flower fully open",2010-03-07,66,2010,150.36,"M. campbellii","botanical species"
"51",51,71,"BC•","M. zenii","1986-0146.01","First flower fully open",2010-03-03,62,2010,144.51,"M. zenii","botanical species"
"52",52,73,"A2•","M. cylindrica","1982-0947.01","First flower fully open",2010-03-17,76,2010,172.5,"M. cylindrica","botanical species"
"53",53,75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First flower fully open",2010-03-24,83,2010,192.6,"M. denudata","'Wada's Japanese Clone'"
"54",54,76,"G6•","M. cylindrica","1992-0484.02","First flower fully open",2010-03-24,83,2010,192.6,"M. cylindrica","botanical species"
"55",55,78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First flower fully open",2010-02-24,55,2010,116.58,"M. sprengeri","'Eric Savill'"
"56",56,79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First flower fully open",2010-03-31,90,2010,218.69,"M. cavaleriei var. platypetala","botanical species"
"57",57,2,"AC•","M. sprengeri 'Diva'","1982-0954.03","Peak bloom",2010-03-28,87,2010,212.35,"M. sprengeri","'Diva'"
"58",58,3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","Peak bloom",2010-03-03,62,2010,144.51,"M. sargentiana","'Blood Moon'"
"59",59,6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","Peak bloom",2010-03-10,69,2010,153.46,"M. campbellii","'Borde Hill'"
"60",60,7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","Peak bloom",2010-03-07,66,2010,150.36,"M. campbellii","'Lanarth'"
"61",61,14,"C7•","M. sargentiana","1988-0065.01","Peak bloom",2010-03-10,69,2010,153.46,"M. sargentiana","botanical species"
"62",62,16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","Peak bloom",2010-03-21,80,2010,182.4,"M. dawsoniana","'Chyverton Red'"
"63",63,20,"C9•","M. stellata","1972-0218.01","Peak bloom",2010-03-24,83,2010,192.6,"M. stellata","botanical species"
"64",64,22,"DB•","M. sprengeri","1980-0041.01","Peak bloom",2010-03-24,83,2010,192.6,"M. sprengeri","botanical species"
"65",65,27,"H3•","M. campbellii","1982-0939.06","Peak bloom",2010-03-14,73,2010,158.96,"M. campbellii","botanical species"
"66",66,28,"H3•","M. campbellii","1983-0456.01","Peak bloom",2010-03-14,73,2010,158.96,"M. campbellii","botanical species"
"67",67,29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","Peak bloom",2010-03-07,66,2010,150.36,"M. campbellii (Alba Group)","'Ethel Hillier'"
"68",68,34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","Peak bloom",2010-03-21,80,2010,182.4,"M. sprengeri","'Claret Cup'"
"69",69,38,"D2•","M. sargentiana","1982-1437.04","Peak bloom",2010-02-28,59,2010,133.22,"M. sargentiana","botanical species"
"70",70,39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","Peak bloom",2010-03-24,83,2010,192.6,"M. denudata","'Forrest's Pink'"
"71",71,44,"D6•","M. campbellii","1974-1054.01","Peak bloom",2010-03-14,73,2010,158.96,"M. campbellii","botanical species"
"72",72,50,"D5•","M. campbellii","1978-0361.01","Peak bloom",2010-03-21,80,2010,182.4,"M. campbellii","botanical species"
"73",73,53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","Peak bloom",2010-03-21,80,2010,182.4,"M. sprengeri","'Wakehurst'"
"74",74,54,"F6•","M. 'Barbara Cook'","1981-0280.01","Peak bloom",2010-03-14,73,2010,158.96,"M. dawsoniana","'Barbara Cook'"
"75",75,58,"FA•","M. campbellii 'Landicla'","1982-0943.01","Peak bloom",2010-03-10,69,2010,153.46,"M. campbellii","'Landicla'"
"76",76,63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","Peak bloom",2010-03-17,76,2010,172.5,"M. dawsoniana","'Clarke'"
"77",77,66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","Peak bloom",2010-03-14,73,2010,158.96,"M. sargentiana","'Chyverton Dark'"
"78",78,67,"E7•","M. campbellii","1979-0244.01","Peak bloom",2010-03-14,73,2010,158.96,"M. campbellii","botanical species"
"79",79,71,"BC•","M. zenii","1986-0146.01","Peak bloom",2010-03-07,66,2010,150.36,"M. zenii","botanical species"
"80",80,73,"A2•","M. cylindrica","1982-0947.01","Peak bloom",2010-03-24,83,2010,192.6,"M. cylindrica","botanical species"
"81",81,75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","Peak bloom",2010-03-28,87,2010,212.35,"M. denudata","'Wada's Japanese Clone'"
"82",82,76,"G6•","M. cylindrica","1992-0484.02","Peak bloom",2010-04-07,97,2010,235.59,"M. cylindrica","botanical species"
"83",83,78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","Peak bloom",2010-03-03,62,2010,144.51,"M. sprengeri","'Eric Savill'"
"84",84,79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","Peak bloom",2010-04-18,108,2010,285.96,"M. cavaleriei var. platypetala","botanical species"
"85",85,2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First tepal drop",2010-03-21,80,2010,182.4,"M. sprengeri","'Diva'"
"86",86,3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First tepal drop",2010-03-07,66,2010,150.36,"M. sargentiana","'Blood Moon'"
"87",87,6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First tepal drop",2010-03-06,65,2010,150.11,"M. campbellii","'Borde Hill'"
"88",88,7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First tepal drop",2010-03-06,65,2010,150.11,"M. campbellii","'Lanarth'"
"89",89,14,"C7•","M. sargentiana","1988-0065.01","First tepal drop",2010-03-10,69,2010,153.46,"M. sargentiana","botanical species"
"90",90,16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First tepal drop",2010-03-14,73,2010,158.96,"M. dawsoniana","'Chyverton Red'"
"91",91,20,"C9•","M. stellata","1972-0218.01","First tepal drop",2010-03-21,80,2010,182.4,"M. stellata","botanical species"
"92",92,22,"DB•","M. sprengeri","1980-0041.01","First tepal drop",2010-03-14,73,2010,158.96,"M. sprengeri","botanical species"
"93",93,27,"H3•","M. campbellii","1982-0939.06","First tepal drop",2010-03-14,73,2010,158.96,"M. campbellii","botanical species"
"94",94,28,"H3•","M. campbellii","1983-0456.01","First tepal drop",2010-03-14,73,2010,158.96,"M. campbellii","botanical species"
"95",95,29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First tepal drop",2010-03-10,69,2010,153.46,"M. campbellii (Alba Group)","'Ethel Hillier'"
"96",96,34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First tepal drop",2010-03-14,73,2010,158.96,"M. sprengeri","'Claret Cup'"
"97",97,38,"D2•","M. sargentiana","1982-1437.04","First tepal drop",2010-03-07,66,2010,150.36,"M. sargentiana","botanical species"
"98",98,39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First tepal drop",2010-03-21,80,2010,182.4,"M. denudata","'Forrest's Pink'"
"99",99,44,"D6•","M. campbellii","1974-1054.01","First tepal drop",2010-03-07,66,2010,150.36,"M. campbellii","botanical species"
"100",100,50,"D5•","M. campbellii","1978-0361.01","First tepal drop",2010-03-24,83,2010,192.6,"M. campbellii","botanical species"
"101",101,53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First tepal drop",2010-03-24,83,2010,192.6,"M. sprengeri","'Wakehurst'"
"102",102,54,"F6•","M. 'Barbara Cook'","1981-0280.01","First tepal drop",2010-03-14,73,2010,158.96,"M. dawsoniana","'Barbara Cook'"
"103",103,58,"FA•","M. campbellii 'Landicla'","1982-0943.01","First tepal drop",2010-03-17,76,2010,172.5,"M. campbellii","'Landicla'"
"104",104,63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First tepal drop",2010-03-21,80,2010,182.4,"M. dawsoniana","'Clarke'"
"105",105,66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First tepal drop",2010-03-10,69,2010,153.46,"M. sargentiana","'Chyverton Dark'"
"106",106,67,"E7•","M. campbellii","1979-0244.01","First tepal drop",2010-03-24,83,2010,192.6,"M. campbellii","botanical species"
"107",107,71,"BC•","M. zenii","1986-0146.01","First tepal drop",2010-03-07,66,2010,150.36,"M. zenii","botanical species"
"108",108,73,"A2•","M. cylindrica","1982-0947.01","First tepal drop",2010-03-24,83,2010,192.6,"M. cylindrica","botanical species"
"109",109,75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First tepal drop",2010-03-28,87,2010,212.35,"M. denudata","'Wada's Japanese Clone'"
"110",110,76,"G6•","M. cylindrica","1992-0484.02","First tepal drop",2010-04-11,101,2010,243.13,"M. cylindrica","botanical species"
"111",111,78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First tepal drop",2010-03-07,66,2010,150.36,"M. sprengeri","'Eric Savill'"
"112",112,79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First tepal drop",2010-04-25,115,2010,321.9,"M. cavaleriei var. platypetala","botanical species"
"113",113,2,"AC•","M. sprengeri 'Diva'","1982-0954.03","Last tepal drop",2010-05-09,129,2010,397.5,"M. sprengeri","'Diva'"
"114",114,3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","Last tepal drop",2010-03-31,90,2010,218.69,"M. sargentiana","'Blood Moon'"
"115",115,6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","Last tepal drop",2010-03-31,90,2010,218.69,"M. campbellii","'Borde Hill'"
"116",116,7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","Last tepal drop",2010-04-04,94,2010,226.54,"M. campbellii","'Lanarth'"
"117",117,14,"C7•","M. sargentiana","1988-0065.01","Last tepal drop",2010-04-21,111,2010,306.16,"M. sargentiana","botanical species"
"118",118,16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","Last tepal drop",2010-05-05,125,2010,375.25,"M. dawsoniana","'Chyverton Red'"
"119",119,20,"C9•","M. stellata","1972-0218.01","Last tepal drop",2010-06-05,156,2010,NA,"M. stellata","botanical species"
"120",120,22,"DB•","M. sprengeri","1980-0041.01","Last tepal drop",2010-05-12,132,2010,419.35,"M. sprengeri","botanical species"
"121",121,27,"H3•","M. campbellii","1982-0939.06","Last tepal drop",2010-04-04,94,2010,226.54,"M. campbellii","botanical species"
"122",122,28,"H3•","M. campbellii","1983-0456.01","Last tepal drop",2010-04-11,101,2010,243.13,"M. campbellii","botanical species"
"123",123,29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","Last tepal drop",2010-04-07,97,2010,235.59,"M. campbellii (Alba Group)","'Ethel Hillier'"
"124",124,34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","Last tepal drop",2010-05-09,129,2010,397.5,"M. sprengeri","'Claret Cup'"
"125",125,38,"D2•","M. sargentiana","1982-1437.04","Last tepal drop",2010-03-28,87,2010,212.35,"M. sargentiana","botanical species"
"126",126,39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","Last tepal drop",2010-05-12,132,2010,419.35,"M. denudata","'Forrest's Pink'"
"127",127,44,"D6•","M. campbellii","1974-1054.01","Last tepal drop",2010-04-21,111,2010,306.16,"M. campbellii","botanical species"
"128",128,50,"D5•","M. campbellii","1978-0361.01","Last tepal drop",2010-04-07,97,2010,235.59,"M. campbellii","botanical species"
"129",129,53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","Last tepal drop",2010-05-05,125,2010,375.25,"M. sprengeri","'Wakehurst'"
"130",130,54,"F6•","M. 'Barbara Cook'","1981-0280.01","Last tepal drop",2010-04-04,94,2010,226.54,"M. dawsoniana","'Barbara Cook'"
"131",131,58,"FA•","M. campbellii 'Landicla'","1982-0943.01","Last tepal drop",2010-03-28,87,2010,212.35,"M. campbellii","'Landicla'"
"132",132,63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","Last tepal drop",2010-04-25,115,2010,321.9,"M. dawsoniana","'Clarke'"
"133",133,66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","Last tepal drop",2010-04-04,94,2010,226.54,"M. sargentiana","'Chyverton Dark'"
"134",134,67,"E7•","M. campbellii","1979-0244.01","Last tepal drop",2010-04-04,94,2010,226.54,"M. campbellii","botanical species"
"135",135,71,"BC•","M. zenii","1986-0146.01","Last tepal drop",2010-03-28,87,2010,212.35,"M. zenii","botanical species"
"136",136,73,"A2•","M. cylindrica","1982-0947.01","Last tepal drop",2010-05-16,136,2010,455.95,"M. cylindrica","botanical species"
"137",137,75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","Last tepal drop",2010-04-21,111,2010,306.16,"M. denudata","'Wada's Japanese Clone'"
"138",138,76,"G6•","M. cylindrica","1992-0484.02","Last tepal drop",2010-04-26,116,2010,329.9,"M. cylindrica","botanical species"
"139",139,78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","Last tepal drop",2010-04-21,111,2010,306.16,"M. sprengeri","'Eric Savill'"
"140",140,79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","Last tepal drop",2010-05-19,139,2010,485.95,"M. cavaleriei var. platypetala","botanical species"
"141",141,2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First bud colour",2011-03-27,86,2011,101.4,"M. sprengeri","'Diva'"
"142",142,3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First bud colour",2011-03-23,82,2011,88.62,"M. sargentiana","'Blood Moon'"
"143",143,14,"C7•","M. sargentiana","1988-0065.01","First bud colour",2011-03-30,89,2011,110.8,"M. sargentiana","botanical species"
"144",144,16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First bud colour",2011-03-27,86,2011,101.4,"M. dawsoniana","'Chyverton Red'"
"145",145,20,"C9•","M. stellata","1972-0218.01","First bud colour",2011-04-10,100,2011,138.37,"M. stellata","botanical species"
"146",146,22,"DB•","M. sprengeri","1980-0041.01","First bud colour",2011-03-27,86,2011,101.4,"M. sprengeri","botanical species"
"147",147,27,"H3•","M. campbellii","1982-0939.06","First bud colour",2011-04-10,100,2011,138.37,"M. campbellii","botanical species"
"148",148,34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First bud colour",2011-03-27,86,2011,101.4,"M. sprengeri","'Claret Cup'"
"149",149,38,"D2•","M. sargentiana","1982-1437.04","First bud colour",2011-03-27,86,2011,101.4,"M. sargentiana","botanical species"
"150",150,39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First bud colour",2011-03-27,86,2011,101.4,"M. denudata","'Forrest's Pink'"
"151",151,44,"D6•","M. campbellii","1974-1054.01","First bud colour",2011-04-13,103,2011,145.87,"M. campbellii","botanical species"
"152",152,50,"D5•","M. campbellii","1978-0361.01","First bud colour",2011-04-17,107,2011,149.27,"M. campbellii","botanical species"
"153",153,53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First bud colour",2011-04-20,110,2011,154.12,"M. sprengeri","'Wakehurst'"
"154",154,54,"F6•","M. 'Barbara Cook'","1981-0280.01","First bud colour",2011-03-30,89,2011,110.8,"M. dawsoniana","'Barbara Cook'"
"155",155,58,"FA•","M. campbellii 'Landicla'","1982-0943.01","First bud colour",2011-04-03,93,2011,124.4,"M. campbellii","'Landicla'"
"156",156,63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First bud colour",2011-03-27,86,2011,101.4,"M. dawsoniana","'Clarke'"
"157",157,66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First bud colour",2011-03-30,89,2011,110.8,"M. sargentiana","'Chyverton Dark'"
"158",158,67,"E7•","M. campbellii","1979-0244.01","First bud colour",2011-04-06,96,2011,128.2,"M. campbellii","botanical species"
"159",159,71,"BC•","M. zenii","1986-0146.01","First bud colour",2011-03-27,86,2011,101.4,"M. zenii","botanical species"
"160",160,73,"A2•","M. cylindrica","1982-0947.01","First bud colour",2011-04-03,93,2011,124.4,"M. cylindrica","botanical species"
"161",161,75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First bud colour",2011-04-24,114,2011,165.27,"M. denudata","'Wada's Japanese Clone'"
"162",162,76,"G6•","M. cylindrica","1992-0484.02","First bud colour",2011-04-24,114,2011,165.27,"M. cylindrica","botanical species"
"163",163,77,"F5•","M. campbellii","1982-0939.03","First bud colour",2011-04-03,93,2011,124.4,"M. campbellii","botanical species"
"164",164,78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First bud colour",2011-03-23,82,2011,88.62,"M. sprengeri","'Eric Savill'"
"165",165,79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First bud colour",2011-05-08,128,2011,223.69,"M. cavaleriei var. platypetala","botanical species"
"166",166,2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First flower fully open",2011-04-06,96,2011,128.2,"M. sprengeri","'Diva'"
"167",167,3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First flower fully open",2011-04-06,96,2011,128.2,"M. sargentiana","'Blood Moon'"
"168",168,14,"C7•","M. sargentiana","1988-0065.01","First flower fully open",2011-04-16,106,2011,147.87,"M. sargentiana","botanical species"
"169",169,16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First flower fully open",2011-04-10,100,2011,138.37,"M. dawsoniana","'Chyverton Red'"
"170",170,20,"C9•","M. stellata","1972-0218.01","First flower fully open",2011-04-24,114,2011,165.27,"M. stellata","botanical species"
"171",171,22,"DB•","M. sprengeri","1980-0041.01","First flower fully open",2011-04-03,93,2011,124.4,"M. sprengeri","botanical species"
"172",172,27,"H3•","M. campbellii","1982-0939.06","First flower fully open",2011-05-04,124,2011,204.19,"M. campbellii","botanical species"
"173",173,34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First flower fully open",2011-04-17,107,2011,149.27,"M. sprengeri","'Claret Cup'"
"174",174,38,"D2•","M. sargentiana","1982-1437.04","First flower fully open",2011-04-06,96,2011,128.2,"M. sargentiana","botanical species"
"175",175,39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First flower fully open",2011-04-06,96,2011,128.2,"M. denudata","'Forrest's Pink'"
"176",176,44,"D6•","M. campbellii","1974-1054.01","First flower fully open",2011-04-24,114,2011,165.27,"M. campbellii","botanical species"
"177",177,50,"D5•","M. campbellii","1978-0361.01","First flower fully open",2011-04-24,114,2011,165.27,"M. campbellii","botanical species"
"178",178,53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First flower fully open",2011-04-24,114,2011,165.27,"M. sprengeri","'Wakehurst'"
"179",179,54,"F6•","M. 'Barbara Cook'","1981-0280.01","First flower fully open",2011-04-06,96,2011,128.2,"M. dawsoniana","'Barbara Cook'"
"180",180,58,"FA•","M. campbellii 'Landicla'","1982-0943.01","First flower fully open",2011-04-24,114,2011,165.27,"M. campbellii","'Landicla'"
"181",181,63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First flower fully open",2011-04-13,103,2011,145.87,"M. dawsoniana","'Clarke'"
"182",182,66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First flower fully open",2011-04-13,103,2011,145.87,"M. sargentiana","'Chyverton Dark'"
"183",183,67,"E7•","M. campbellii","1979-0244.01","First flower fully open",2011-04-17,107,2011,149.27,"M. campbellii","botanical species"
"184",184,71,"BC•","M. zenii","1986-0146.01","First flower fully open",2011-04-13,103,2011,145.87,"M. zenii","botanical species"
"185",185,73,"A2•","M. cylindrica","1982-0947.01","First flower fully open",2011-04-24,114,2011,165.27,"M. cylindrica","botanical species"
"186",186,75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First flower fully open",2011-05-04,124,2011,204.19,"M. denudata","'Wada's Japanese Clone'"
"187",187,76,"G6•","M. cylindrica","1992-0484.02","First flower fully open",2011-05-04,124,2011,204.19,"M. cylindrica","botanical species"
"188",188,77,"F5•","M. campbellii","1982-0939.03","First flower fully open",2011-04-24,114,2011,165.27,"M. campbellii","botanical species"
"189",189,78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First flower fully open",2011-03-30,89,2011,110.8,"M. sprengeri","'Eric Savill'"
"190",190,79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First flower fully open",2011-05-11,131,2011,242.59,"M. cavaleriei var. platypetala","botanical species"
"191",191,2,"AC•","M. sprengeri 'Diva'","1982-0954.03","Peak bloom",2011-04-24,114,2011,165.27,"M. sprengeri","'Diva'"
