"","...1","Ref..No.","Location","Name","Accession.Number","event","value","DOY","year","gdd","spName","cultivarName"
"1",1,2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First bud colour",2010-02-24,55,2010,116.58,"M. sprengeri","'Diva'"
"2",2,3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First bud colour",2010-02-17,48,2010,113.53,"M. sargentiana","'Blood Moon'"
"3",3,6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First bud colour",2010-02-28,59,2010,133.22,"M. campbellii","'Borde Hill'"
"4",4,7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First bud colour",2010-02-28,59,2010,133.22,"M. campbellii","'Lanarth'"
"5",5,14,"C7•","M. sargentiana","1988-0065.01","First bud colour",2010-02-24,55,2010,116.58,"M. sargentiana","botanical species"
"6",6,16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First bud colour",2010-02-28,59,2010,133.22,"M. dawsoniana","'Chyverton Red'"
"7",7,20,"C9•","M. stellata","1972-0218.01","First bud colour",2010-03-07,66,2010,150.36,"M. stellata","botanical species"
"8",8,22,"DB•","M. sprengeri","1980-0041.01","First bud colour",2010-02-28,59,2010,133.22,"M. sprengeri","botanical species"
"9",9,27,"H3•","M. campbellii","1982-0939.06","First bud colour",2010-02-28,59,2010,133.22,"M. campbellii","botanical species"
"10",10,28,"H3•","M. campbellii","1983-0456.01","First bud colour",2010-02-24,55,2010,116.58,"M. campbellii","botanical species"
"11",11,29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First bud colour",2010-02-28,59,2010,133.22,"M. campbellii (Alba Group)","'Ethel Hillier'"
"12",12,34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First bud colour",2010-02-28,59,2010,133.22,"M. sprengeri","'Claret Cup'"
"13",13,38,"D2•","M. sargentiana","1982-1437.04","First bud colour",2010-02-17,48,2010,113.53,"M. sargentiana","botanical species"
"14",14,39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First bud colour",2010-02-24,55,2010,116.58,"M. denudata","'Forrest's Pink'"
"15",15,44,"D6•","M. campbellii","1974-1054.01","First bud colour",2010-02-24,55,2010,116.58,"M. campbellii","botanical species"
"16",16,50,"D5•","M. campbellii","1978-0361.01","First bud colour",2010-03-03,62,2010,144.51,"M. campbellii","botanical species"
"17",17,53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First bud colour",2010-03-07,66,2010,150.36,"M. sprengeri","'Wakehurst'"
"18",18,54,"F6•","M. 'Barbara Cook'","1981-0280.01","First bud colour",2010-02-28,59,2010,133.22,"M. dawsoniana","'Barbara Cook'"
"19",19,58,"FA•","M. campbellii 'Landicla'","1982-0943.01","First bud colour",2010-03-03,62,2010,144.51,"M. campbellii","'Landicla'"
"20",20,63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First bud colour",2010-03-03,62,2010,144.51,"M. dawsoniana","'Clarke'"
"21",21,66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First bud colour",2010-02-28,59,2010,133.22,"M. sargentiana","'Chyverton Dark'"
"22",22,67,"E7•","M. campbellii","1979-0244.01","First bud colour",2010-03-03,62,2010,144.51,"M. campbellii","botanical species"
"23",23,71,"BC•","M. zenii","1986-0146.01","First bud colour",2010-02-28,59,2010,133.22,"M. zenii","botanical species"
"24",24,73,"A2•","M. cylindrica","1982-0947.01","First bud colour",2010-03-03,62,2010,144.51,"M. cylindrica","botanical species"
"25",25,75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First bud colour",2010-03-07,66,2010,150.36,"M. denudata","'Wada's Japanese Clone'"
"26",26,76,"G6•","M. cylindrica","1992-0484.02","First bud colour",2010-03-14,73,2010,158.96,"M. cylindrica","botanical species"
"27",27,78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First bud colour",2010-02-21,52,2010,113.78,"M. sprengeri","'Eric Savill'"
"28",28,79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First bud colour",2010-03-28,87,2010,212.35,"M. cavaleriei var. platypetala","botanical species"
"29",29,2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First flower fully open",2010-03-03,62,2010,144.51,"M. sprengeri","'Diva'"
"30",30,3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First flower fully open",2010-02-24,55,2010,116.58,"M. sargentiana","'Blood Moon'"
"31",31,6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First flower fully open",2010-02-28,59,2010,133.22,"M. campbellii","'Borde Hill'"
"32",32,7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First flower fully open",2010-02-28,59,2010,133.22,"M. campbellii","'Lanarth'"
"33",33,14,"C7•","M. sargentiana","1988-0065.01","First flower fully open",2010-03-07,66,2010,150.36,"M. sargentiana","botanical species"
"34",34,16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First flower fully open",2010-03-14,73,2010,158.96,"M. dawsoniana","'Chyverton Red'"
"35",35,20,"C9•","M. stellata","1972-0218.01","First flower fully open",2010-03-14,73,2010,158.96,"M. stellata","botanical species"
"36",36,22,"DB•","M. sprengeri","1980-0041.01","First flower fully open",2010-03-07,66,2010,150.36,"M. sprengeri","botanical species"
"37",37,27,"H3•","M. campbellii","1982-0939.06","First flower fully open",2010-03-03,62,2010,144.51,"M. campbellii","botanical species"
"38",38,28,"H3•","M. campbellii","1983-0456.01","First flower fully open",2010-03-03,62,2010,144.51,"M. campbellii","botanical species"
"39",39,29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First flower fully open",2010-03-03,62,2010,144.51,"M. campbellii (Alba Group)","'Ethel Hillier'"
"40",40,34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First flower fully open",2010-03-10,69,2010,153.46,"M. sprengeri","'Claret Cup'"
"41",41,38,"D2•","M. sargentiana","1982-1437.04","First flower fully open",2010-02-24,55,2010,116.58,"M. sargentiana","botanical species"
