"","Ref. No.","Location","Name","Accession Number","event","value","DOY","year"
"21",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First bud colour",2010-02-28,59,2010
"22",67,"E7•","M. campbellii","1979-0244.01","First bud colour",2010-03-03,62,2010
"23",71,"BC•","M. zenii","1986-0146.01","First bud colour",2010-02-28,59,2010
"24",73,"A2•","M. cylindrica","1982-0947.01","First bud colour",2010-03-03,62,2010
"25",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First bud colour",2010-03-07,66,2010
"26",76,"G6•","M. cylindrica","1992-0484.02","First bud colour",2010-03-14,73,2010
"27",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First bud colour",2010-02-21,52,2010
"28",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First bud colour",2010-03-28,87,2010
"29",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First flower fully open",2010-03-03,62,2010
"30",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First flower fully open",2010-02-24,55,2010
"31",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First flower fully open",2010-02-28,59,2010
"32",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First flower fully open",2010-02-28,59,2010
"33",14,"C7•","M. sargentiana","1988-0065.01","First flower fully open",2010-03-07,66,2010
"34",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First flower fully open",2010-03-14,73,2010
"35",20,"C9•","M. stellata","1972-0218.01","First flower fully open",2010-03-14,73,2010
"36",22,"DB•","M. sprengeri","1980-0041.01","First flower fully open",2010-03-07,66,2010
"37",27,"H3•","M. campbellii","1982-0939.06","First flower fully open",2010-03-03,62,2010
"38",28,"H3•","M. campbellii","1983-0456.01","First flower fully open",2010-03-03,62,2010
"39",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First flower fully open",2010-03-03,62,2010
"40",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First flower fully open",2010-03-10,69,2010
"41",38,"D2•","M. sargentiana","1982-1437.04","First flower fully open",2010-02-24,55,2010
"42",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First flower fully open",2010-03-10,69,2010
"43",44,"D6•","M. campbellii","1974-1054.01","First flower fully open",2010-02-28,59,2010
"44",50,"D5•","M. campbellii","1978-0361.01","First flower fully open",2010-03-03,62,2010
"45",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First flower fully open",2010-03-14,73,2010
"46",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First flower fully open",2010-03-03,62,2010
"47",58,"FA•","M. campbellii 'Landicla'","1982-0943.01","First flower fully open",2010-03-07,66,2010
"48",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First flower fully open",2010-03-10,69,2010
"49",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First flower fully open",2010-03-10,69,2010
"50",67,"E7•","M. campbellii","1979-0244.01","First flower fully open",2010-03-07,66,2010
"51",71,"BC•","M. zenii","1986-0146.01","First flower fully open",2010-03-03,62,2010
"52",73,"A2•","M. cylindrica","1982-0947.01","First flower fully open",2010-03-17,76,2010
"53",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First flower fully open",2010-03-24,83,2010
"54",76,"G6•","M. cylindrica","1992-0484.02","First flower fully open",2010-03-24,83,2010
"55",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First flower fully open",2010-02-24,55,2010
"56",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First flower fully open",2010-03-31,90,2010
"57",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","Peak bloom",2010-03-28,87,2010
"58",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","Peak bloom",2010-03-03,62,2010
"59",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","Peak bloom",2010-03-10,69,2010
"60",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","Peak bloom",2010-03-07,66,2010
"61",14,"C7•","M. sargentiana","1988-0065.01","Peak bloom",2010-03-10,69,2010
"62",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","Peak bloom",2010-03-21,80,2010
"63",20,"C9•","M. stellata","1972-0218.01","Peak bloom",2010-03-24,83,2010
"64",22,"DB•","M. sprengeri","1980-0041.01","Peak bloom",2010-03-24,83,2010
"65",27,"H3•","M. campbellii","1982-0939.06","Peak bloom",2010-03-14,73,2010
"66",28,"H3•","M. campbellii","1983-0456.01","Peak bloom",2010-03-14,73,2010
"67",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","Peak bloom",2010-03-07,66,2010
"68",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","Peak bloom",2010-03-21,80,2010
"69",38,"D2•","M. sargentiana","1982-1437.04","Peak bloom",2010-02-28,59,2010
"70",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","Peak bloom",2010-03-24,83,2010
"71",44,"D6•","M. campbellii","1974-1054.01","Peak bloom",2010-03-14,73,2010
"72",50,"D5•","M. campbellii","1978-0361.01","Peak bloom",2010-03-21,80,2010
"73",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","Peak bloom",2010-03-21,80,2010
"74",54,"F6•","M. 'Barbara Cook'","1981-0280.01","Peak bloom",2010-03-14,73,2010
"75",58,"FA•","M. campbellii 'Landicla'","1982-0943.01","Peak bloom",2010-03-10,69,2010
"76",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","Peak bloom",2010-03-17,76,2010
"77",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","Peak bloom",2010-03-14,73,2010
"78",67,"E7•","M. campbellii","1979-0244.01","Peak bloom",2010-03-14,73,2010
"79",71,"BC•","M. zenii","1986-0146.01","Peak bloom",2010-03-07,66,2010
"80",73,"A2•","M. cylindrica","1982-0947.01","Peak bloom",2010-03-24,83,2010
"81",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","Peak bloom",2010-03-28,87,2010
"82",76,"G6•","M. cylindrica","1992-0484.02","Peak bloom",2010-04-07,97,2010
"83",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","Peak bloom",2010-03-03,62,2010
"84",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","Peak bloom",2010-04-18,108,2010
"85",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First tepal drop",2010-03-21,80,2010
"86",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First tepal drop",2010-03-07,66,2010
"87",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First tepal drop",2010-03-06,65,2010
"88",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First tepal drop",2010-03-06,65,2010
"89",14,"C7•","M. sargentiana","1988-0065.01","First tepal drop",2010-03-10,69,2010
"90",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First tepal drop",2010-03-14,73,2010
"91",20,"C9•","M. stellata","1972-0218.01","First tepal drop",2010-03-21,80,2010
"92",22,"DB•","M. sprengeri","1980-0041.01","First tepal drop",2010-03-14,73,2010
"93",27,"H3•","M. campbellii","1982-0939.06","First tepal drop",2010-03-14,73,2010
"94",28,"H3•","M. campbellii","1983-0456.01","First tepal drop",2010-03-14,73,2010
"95",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First tepal drop",2010-03-10,69,2010
"96",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First tepal drop",2010-03-14,73,2010
"97",38,"D2•","M. sargentiana","1982-1437.04","First tepal drop",2010-03-07,66,2010
"98",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First tepal drop",2010-03-21,80,2010
"99",44,"D6•","M. campbellii","1974-1054.01","First tepal drop",2010-03-07,66,2010
"100",50,"D5•","M. campbellii","1978-0361.01","First tepal drop",2010-03-24,83,2010
"101",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First tepal drop",2010-03-24,83,2010
"102",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First tepal drop",2010-03-14,73,2010
"103",58,"FA•","M. campbellii 'Landicla'","1982-0943.01","First tepal drop",2010-03-17,76,2010
"104",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First tepal drop",2010-03-21,80,2010
"105",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First tepal drop",2010-03-10,69,2010
"106",67,"E7•","M. campbellii","1979-0244.01","First tepal drop",2010-03-24,83,2010
"107",71,"BC•","M. zenii","1986-0146.01","First tepal drop",2010-03-07,66,2010
"108",73,"A2•","M. cylindrica","1982-0947.01","First tepal drop",2010-03-24,83,2010
"109",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First tepal drop",2010-03-28,87,2010
"110",76,"G6•","M. cylindrica","1992-0484.02","First tepal drop",2010-04-11,101,2010
"111",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First tepal drop",2010-03-07,66,2010
"112",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First tepal drop",2010-04-25,115,2010
"113",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","Last tepal drop",2010-05-09,129,2010
"114",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","Last tepal drop",2010-03-31,90,2010
"115",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","Last tepal drop",2010-03-31,90,2010
"116",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","Last tepal drop",2010-04-04,94,2010
"117",14,"C7•","M. sargentiana","1988-0065.01","Last tepal drop",2010-04-21,111,2010
"118",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","Last tepal drop",2010-05-05,125,2010
"119",20,"C9•","M. stellata","1972-0218.01","Last tepal drop",2010-06-05,156,2010
"120",22,"DB•","M. sprengeri","1980-0041.01","Last tepal drop",2010-05-12,132,2010
"121",27,"H3•","M. campbellii","1982-0939.06","Last tepal drop",2010-04-04,94,2010
"122",28,"H3•","M. campbellii","1983-0456.01","Last tepal drop",2010-04-11,101,2010
"123",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","Last tepal drop",2010-04-07,97,2010
"124",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","Last tepal drop",2010-05-09,129,2010
"125",38,"D2•","M. sargentiana","1982-1437.04","Last tepal drop",2010-03-28,87,2010
"126",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","Last tepal drop",2010-05-12,132,2010
"127",44,"D6•","M. campbellii","1974-1054.01","Last tepal drop",2010-04-21,111,2010
"128",50,"D5•","M. campbellii","1978-0361.01","Last tepal drop",2010-04-07,97,2010
"129",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","Last tepal drop",2010-05-05,125,2010
"130",54,"F6•","M. 'Barbara Cook'","1981-0280.01","Last tepal drop",2010-04-04,94,2010
"131",58,"FA•","M. campbellii 'Landicla'","1982-0943.01","Last tepal drop",2010-03-28,87,2010
"132",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","Last tepal drop",2010-04-25,115,2010
"133",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","Last tepal drop",2010-04-04,94,2010
"134",67,"E7•","M. campbellii","1979-0244.01","Last tepal drop",2010-04-04,94,2010
"135",71,"BC•","M. zenii","1986-0146.01","Last tepal drop",2010-03-28,87,2010
"136",73,"A2•","M. cylindrica","1982-0947.01","Last tepal drop",2010-05-16,136,2010
"137",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","Last tepal drop",2010-04-21,111,2010
"138",76,"G6•","M. cylindrica","1992-0484.02","Last tepal drop",2010-04-26,116,2010
"139",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","Last tepal drop",2010-04-21,111,2010
"140",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","Last tepal drop",2010-05-19,139,2010
"141",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First bud colour",2011-03-27,86,2011
"142",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First bud colour",2011-03-23,82,2011
"143",14,"C7•","M. sargentiana","1988-0065.01","First bud colour",2011-03-30,89,2011
"144",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First bud colour",2011-03-27,86,2011
"145",20,"C9•","M. stellata","1972-0218.01","First bud colour",2011-04-10,100,2011
"146",22,"DB•","M. sprengeri","1980-0041.01","First bud colour",2011-03-27,86,2011
"147",27,"H3•","M. campbellii","1982-0939.06","First bud colour",2011-04-10,100,2011
"148",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First bud colour",2011-03-27,86,2011
"149",38,"D2•","M. sargentiana","1982-1437.04","First bud colour",2011-03-27,86,2011
"150",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First bud colour",2011-03-27,86,2011
"151",44,"D6•","M. campbellii","1974-1054.01","First bud colour",2011-04-13,103,2011
"152",50,"D5•","M. campbellii","1978-0361.01","First bud colour",2011-04-17,107,2011
"153",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First bud colour",2011-04-20,110,2011
"154",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First bud colour",2011-03-30,89,2011
"155",58,"FA•","M. campbellii 'Landicla'","1982-0943.01","First bud colour",2011-04-03,93,2011
"156",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First bud colour",2011-03-27,86,2011
"157",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First bud colour",2011-03-30,89,2011
"158",67,"E7•","M. campbellii","1979-0244.01","First bud colour",2011-04-06,96,2011
"159",71,"BC•","M. zenii","1986-0146.01","First bud colour",2011-03-27,86,2011
"160",73,"A2•","M. cylindrica","1982-0947.01","First bud colour",2011-04-03,93,2011
"161",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First bud colour",2011-04-24,114,2011
"162",76,"G6•","M. cylindrica","1992-0484.02","First bud colour",2011-04-24,114,2011
"163",77,"F5•","M. campbellii","1982-0939.03","First bud colour",2011-04-03,93,2011
"164",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First bud colour",2011-03-23,82,2011
"165",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First bud colour",2011-05-08,128,2011
"166",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First flower fully open",2011-04-06,96,2011
"167",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First flower fully open",2011-04-06,96,2011
"168",14,"C7•","M. sargentiana","1988-0065.01","First flower fully open",2011-04-16,106,2011
"169",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First flower fully open",2011-04-10,100,2011
"170",20,"C9•","M. stellata","1972-0218.01","First flower fully open",2011-04-24,114,2011
"171",22,"DB•","M. sprengeri","1980-0041.01","First flower fully open",2011-04-03,93,2011
"172",27,"H3•","M. campbellii","1982-0939.06","First flower fully open",2011-05-04,124,2011
"173",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First flower fully open",2011-04-17,107,2011
"174",38,"D2•","M. sargentiana","1982-1437.04","First flower fully open",2011-04-06,96,2011
"175",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First flower fully open",2011-04-06,96,2011
"176",44,"D6•","M. campbellii","1974-1054.01","First flower fully open",2011-04-24,114,2011
"177",50,"D5•","M. campbellii","1978-0361.01","First flower fully open",2011-04-24,114,2011
"178",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First flower fully open",2011-04-24,114,2011
"179",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First flower fully open",2011-04-06,96,2011
"180",58,"FA•","M. campbellii 'Landicla'","1982-0943.01","First flower fully open",2011-04-24,114,2011
"181",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First flower fully open",2011-04-13,103,2011
"182",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First flower fully open",2011-04-13,103,2011
"183",67,"E7•","M. campbellii","1979-0244.01","First flower fully open",2011-04-17,107,2011
"184",71,"BC•","M. zenii","1986-0146.01","First flower fully open",2011-04-13,103,2011
"185",73,"A2•","M. cylindrica","1982-0947.01","First flower fully open",2011-04-24,114,2011
"186",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First flower fully open",2011-05-04,124,2011
"187",76,"G6•","M. cylindrica","1992-0484.02","First flower fully open",2011-05-04,124,2011
"188",77,"F5•","M. campbellii","1982-0939.03","First flower fully open",2011-04-24,114,2011
"189",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First flower fully open",2011-03-30,89,2011
"190",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First flower fully open",2011-05-11,131,2011
"191",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","Peak bloom",2011-04-24,114,2011
"192",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","Peak bloom",2011-04-13,103,2011
"193",14,"C7•","M. sargentiana","1988-0065.01","Peak bloom",2011-04-13,103,2011
"194",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","Peak bloom",2011-04-17,107,2011
"195",20,"C9•","M. stellata","1972-0218.01","Peak bloom",2011-04-24,114,2011
"196",22,"DB•","M. sprengeri","1980-0041.01","Peak bloom",2011-04-17,107,2011
"197",27,"H3•","M. campbellii","1982-0939.06","Peak bloom",2011-05-04,124,2011
"198",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","Peak bloom",2011-04-24,114,2011
"199",38,"D2•","M. sargentiana","1982-1437.04","Peak bloom",2011-04-13,103,2011
"200",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","Peak bloom",2011-04-20,110,2011
"201",44,"D6•","M. campbellii","1974-1054.01","Peak bloom",2011-04-24,114,2011
"202",50,"D5•","M. campbellii","1978-0361.01","Peak bloom",2011-04-24,114,2011
"203",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","Peak bloom",2011-04-24,114,2011
"204",54,"F6•","M. 'Barbara Cook'","1981-0280.01","Peak bloom",2011-04-13,103,2011
"205",58,"FA•","M. campbellii 'Landicla'","1982-0943.01","Peak bloom",2011-04-24,114,2011
"206",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","Peak bloom",2011-04-17,107,2011
"207",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","Peak bloom",2011-04-17,107,2011
"208",67,"E7•","M. campbellii","1979-0244.01","Peak bloom",2011-04-24,114,2011
"209",71,"BC•","M. zenii","1986-0146.01","Peak bloom",2011-04-13,103,2011
"210",73,"A2•","M. cylindrica","1982-0947.01","Peak bloom",2011-05-04,124,2011
"211",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","Peak bloom",2011-05-15,135,2011
"212",76,"G6•","M. cylindrica","1992-0484.02","Peak bloom",2011-05-15,135,2011
"213",77,"F5•","M. campbellii","1982-0939.03","Peak bloom",2011-05-01,121,2011
"214",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","Peak bloom",2011-03-30,89,2011
"215",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","Peak bloom",2011-05-15,135,2011
"216",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First tepal drop",2011-04-20,110,2011
"217",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First tepal drop",2011-04-13,103,2011
"218",14,"C7•","M. sargentiana","1988-0065.01","First tepal drop",2011-04-10,100,2011
"219",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First tepal drop",2011-04-13,103,2011
"220",20,"C9•","M. stellata","1972-0218.01","First tepal drop",2011-04-20,110,2011
"221",22,"DB•","M. sprengeri","1980-0041.01","First tepal drop",2011-04-10,100,2011
"222",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First tepal drop",2011-04-17,107,2011
"223",38,"D2•","M. sargentiana","1982-1437.04","First tepal drop",2011-04-17,107,2011
"224",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First tepal drop",2011-04-17,107,2011
"225",44,"D6•","M. campbellii","1974-1054.01","First tepal drop",2011-05-04,124,2011
"226",50,"D5•","M. campbellii","1978-0361.01","First tepal drop",2011-04-24,114,2011
"227",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First tepal drop",2011-05-01,121,2011
"228",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First tepal drop",2011-04-13,103,2011
"229",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First tepal drop",2011-04-17,107,2011
"230",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First tepal drop",2011-04-17,107,2011
"231",67,"E7•","M. campbellii","1979-0244.01","First tepal drop",2011-04-27,117,2011
"232",71,"BC•","M. zenii","1986-0146.01","First tepal drop",2011-04-13,103,2011
"233",73,"A2•","M. cylindrica","1982-0947.01","First tepal drop",2011-05-01,121,2011
"234",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First tepal drop",2011-05-08,128,2011
"235",76,"G6•","M. cylindrica","1992-0484.02","First tepal drop",2011-05-08,128,2011
"236",77,"F5•","M. campbellii","1982-0939.03","First tepal drop",2011-05-01,121,2011
"237",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First tepal drop",2011-04-03,93,2011
"238",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First tepal drop",2011-05-22,142,2011
"239",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","Last tepal drop",2011-05-30,150,2011
"240",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","Last tepal drop",2011-05-08,128,2011
"241",14,"C7•","M. sargentiana","1988-0065.01","Last tepal drop",2011-05-15,135,2011
"242",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","Last tepal drop",2011-05-30,150,2011
"243",22,"DB•","M. sprengeri","1980-0041.01","Last tepal drop",2011-05-18,138,2011
"244",27,"H3•","M. campbellii","1982-0939.06","Last tepal drop",2011-05-15,135,2011
"245",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","Last tepal drop",2011-05-30,150,2011
"246",44,"D6•","M. campbellii","1974-1054.01","Last tepal drop",2011-05-04,124,2011
"247",50,"D5•","M. campbellii","1978-0361.01","Last tepal drop",2011-05-15,135,2011
"248",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","Last tepal drop",2011-05-01,121,2011
"249",54,"F6•","M. 'Barbara Cook'","1981-0280.01","Last tepal drop",2011-05-08,128,2011
"250",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","Last tepal drop",2011-05-25,145,2011
"251",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","Last tepal drop",2011-05-08,128,2011
"252",67,"E7•","M. campbellii","1979-0244.01","Last tepal drop",2011-05-15,135,2011
"253",71,"BC•","M. zenii","1986-0146.01","Last tepal drop",2011-05-08,128,2011
"254",73,"A2•","M. cylindrica","1982-0947.01","Last tepal drop",2011-06-08,159,2011
"255",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","Last tepal drop",2011-05-30,150,2011
"256",76,"G6•","M. cylindrica","1992-0484.02","Last tepal drop",2011-05-30,150,2011
"257",77,"F5•","M. campbellii","1982-0939.03","Last tepal drop",2011-05-18,138,2011
"258",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","Last tepal drop",2011-05-08,128,2011
"259",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","Last tepal drop",2011-06-12,163,2011
"260",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First bud colour",2012-04-08,99,2012
"261",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First bud colour",2012-03-21,81,2012
"262",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First bud colour",2012-03-28,88,2012
"263",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First bud colour",2012-03-28,88,2012
"264",14,"C7•","M. sargentiana","1988-0065.01","First bud colour",2012-03-25,85,2012
"265",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First bud colour",2012-04-04,95,2012
"266",20,"C9•","M. stellata","1972-0218.01","First bud colour",2012-04-15,106,2012
"267",22,"DB•","M. sprengeri","1980-0041.01","First bud colour",2012-03-21,81,2012
"268",27,"H3•","M. campbellii","1982-0939.06","First bud colour",2012-03-21,81,2012
"269",28,"H3•","M. campbellii","1983-0456.01","First bud colour",2012-03-21,81,2012
"270",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First bud colour",2012-04-08,99,2012
"271",38,"D2•","M. sargentiana","1982-1437.04","First bud colour",2012-03-17,77,2012
"272",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First bud colour",2012-03-25,85,2012
"273",44,"D6•","M. campbellii","1974-1054.01","First bud colour",2012-03-17,77,2012
"274",50,"D5•","M. campbellii","1978-0361.01","First bud colour",2012-04-01,92,2012
"275",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First bud colour",2012-04-11,102,2012
"276",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First bud colour",2012-04-01,92,2012
"277",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First bud colour",2012-04-08,99,2012
"278",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First bud colour",2012-04-08,99,2012
"279",67,"E7•","M. campbellii","1979-0244.01","First bud colour",2012-03-28,88,2012
"280",71,"BC•","M. zenii","1986-0146.01","First bud colour",2012-03-17,77,2012
"281",73,"A2•","M. cylindrica","1982-0947.01","First bud colour",2012-04-11,102,2012
"282",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First bud colour",2012-04-11,102,2012
