"","Ref. No.","Location","Name","Accession Number","event","value","DOY","year"
"1",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First bud colour",2010-02-24,55,2010
"2",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First bud colour",2010-02-17,48,2010
"3",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First bud colour",2010-02-28,59,2010
"4",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First bud colour",2010-02-28,59,2010
"5",14,"C7•","M. sargentiana","1988-0065.01","First bud colour",2010-02-24,55,2010
"6",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First bud colour",2010-02-28,59,2010
"7",20,"C9•","M. stellata","1972-0218.01","First bud colour",2010-03-07,66,2010
"8",22,"DB•","M. sprengeri","1980-0041.01","First bud colour",2010-02-28,59,2010
"9",27,"H3•","M. campbellii","1982-0939.06","First bud colour",2010-02-28,59,2010
"10",28,"H3•","M. campbellii","1983-0456.01","First bud colour",2010-02-24,55,2010
"11",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First bud colour",2010-02-28,59,2010
"12",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First bud colour",2010-02-28,59,2010
"13",38,"D2•","M. sargentiana","1982-1437.04","First bud colour",2010-02-17,48,2010
"14",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First bud colour",2010-02-24,55,2010
"15",44,"D6•","M. campbellii","1974-1054.01","First bud colour",2010-02-24,55,2010
"16",50,"D5•","M. campbellii","1978-0361.01","First bud colour",2010-03-03,62,2010
"17",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First bud colour",2010-03-07,66,2010
"18",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First bud colour",2010-02-28,59,2010
"19",58,"FA•","M. campbellii 'Landicla'","1982-0943.01","First bud colour",2010-03-03,62,2010
"20",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First bud colour",2010-03-03,62,2010
